University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"Kansas State University",http://dbpedia.org/resource/Kansas_State_University,301-350,"471-480 ",301-400,300,389,267
" Karlsruhe Institute of Technology ",http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,154,"116 ",201-300,183,247,144
" Karolinska Institute ",http://dbpedia.org/resource/Karolinska_Institutet,36,,44,174,38,160
"Kasetsart University",http://dbpedia.org/resource/Kasetsart_University,,,,,,340
" KU Leuven ",http://dbpedia.org/resource/Katholieke_Universiteit_Leuven,61,"77 ",,116,,
" Keele University ",http://dbpedia.org/resource/Keele_University,301-350,"501-550 ",,,,
"Keio University",http://dbpedia.org/resource/Keio_University,,"193 ",301-400,445,268,
"Kent State University",http://dbpedia.org/resource/Kent_State_University,,,401-500,,,
"Kingston University, London ",http://dbpedia.org/resource/Kingston_University,,"471-480 ",,,,
"King Saud University",http://dbpedia.org/resource/King_Saud_University,351-400,"253 ",151-200,443,254,356
"Kobe University",http://dbpedia.org/resource/Kobe_University,,"304 ",201-300,444,326,481
"Korea University",http://dbpedia.org/resource/Korea_University,201-225,"145 ",301-400,398,154,
" Kyoto University ",http://dbpedia.org/resource/Kyoto_University,52,"35 ",26,348,26,88
"Kyung Hee University",http://dbpedia.org/resource/Kyung_Hee_University,,"255 ",401-500,436,281,451
"Kyushu University",http://dbpedia.org/resource/Kyushu_University,301-350,"133 ",151-200,451,157,351
" Lancaster University ",http://dbpedia.org/resource/Lancaster_University,137,"156 ",301-400,130,392,
"La Trobe University",http://dbpedia.org/resource/La_Trobe_University,,"390 ",401-500,,,475
"Lehigh University",http://dbpedia.org/resource/Lehigh_University,301-350,"551-600 ",401-500,,,
" Leiden University ",http://dbpedia.org/resource/Leiden_University,67,"74 ",74,58,72,
"Linkoping University",http://dbpedia.org/resource/Linköping_University,,"331 ",301-400,325,318,
" Liverpool John Moores University ",http://dbpedia.org/resource/Liverpool_John_Moores_University,351-400,,,,,
" London School of Economics and Political Science (LSE) ",http://dbpedia.org/resource/London_School_of_Economics,32,"68 ",101-150,,,233
